neighbourhood,month,year,count
Birchcliffe-Cliffside,February,2000,2
Cliffcrest,February,2000,1
Kennedy Park,February,2000,0
Ionview,February,2000,0
Dorset Park,February,2000,0
Bendale,February,2000,3
Agincourt South-Malvern West,February,2000,1
Agincourt North,February,2000,0
Milliken,February,2000,3
Rouge,February,2000,3
Malvern,February,2000,2
Centennial Scarborough,February,2000,0
Highland Creek,February,2000,2
Morningside,February,2000,1
West Humber-Clairville,March,2000,3
Mount Olive-Silverstone-Jamestown,March,2000,3
Thistletown-Beaumond Heights,March,2000,1
Rexdale-Kipling,March,2000,0
Elms-Old Rexdale,March,2000,2
Kingsview Village-The Westway,March,2000,2
Willowridge-Martingrove-Richview,March,2000,2
Humber Heights-Westmount,March,2000,1
Edenbridge-Humber Valley,March,2000,0
Princess-Rosethorn,March,2000,3
Eringate-Centennial-West DeaneMarkland Wood,March,2000,3
Etobicoke West Mall,March,2000,2
Islington-City Centre West,March,2000,0
Kingsway South,March,2000,1
Stonegate-Queensway,March,2000,1
Mimico,March,2000,2
New Toronto,March,2000,1
Long Branch,March,2000,3
Alderwood,March,2000,3
Humber Summit,March,2000,1
Humbermede,March,2000,1
Pelmo Park-Humberlea,March,2000,3
Black Creek,March,2000,0
Glenfield-Jane Heights,March,2000,1
Downsview-Roding-CFB,March,2000,0
York University Heights,March,2000,0
Rustic,March,2000,3
Maple Leaf,March,2000,0
Brookhaven-Amesbury,March,2000,3
Yorkdale-Glen Park,March,2000,0
Englemount-Lawrence,March,2000,0
Clanton Park,March,2000,2
Bathurst Manor,March,2000,2
Westminster-Branson,March,2000,2
Newtonbrook West,March,2000,3
Willowdale West,March,2000,2
Lansing-Westgate,March,2000,1
Bedford Park-Nortown,March,2000,2
St.Andrew-Windfields,March,2000,3
Bridle Path-Sunnybrook-York Mills,March,2000,0
Banbury-Don Mills,March,2000,1
Victoria Village,March,2000,3
Flemingdon Park,March,2000,0
Parkwoods-Donalda,March,2000,1
Pleasant View,March,2000,3
Don Valley Village,March,2000,2
Hillcrest Village,March,2000,2
Bayview Woods-Steeles,March,2000,2
Newtonbrook East,March,2000,3
Willowdale East,March,2000,2
Bayview Village,March,2000,1
Henry Farm,March,2000,2
O'Connor-Parkview,March,2000,1
Thorncliffe Park,March,2000,2
Leaside-Bennington,March,2000,3
Broadview North,March,2000,0
Old East York,March,2000,3
Danforth-East York,March,2000,3
Woodbine-Lumsden,March,2000,1
Taylor-Massey,March,2000,0
East End-Danforth,March,2000,2
The Beaches,March,2000,0
Woodbine Corridor,March,2000,1
Greenwood-Coxwell,March,2000,1
Danforth,March,2000,2
Playter Estates-Danforth,March,2000,3
North Riverdale,March,2000,0
Blake-Jones,March,2000,3
South Riverdale,March,2000,2
Cabbagetown-South St.James Town,March,2000,1
Regent Park,March,2000,3
Moss Park,March,2000,0
North St.James Town,March,2000,0
Church-Yonge Corridor,March,2000,1
Bay Street Corridor,March,2000,0
Waterfront Communities-The Island,March,2000,3
Kensington-Chinatown,March,2000,2
University,March,2000,1
Palmerston-Little Italy,March,2000,3
Trinity-Bellwoods,March,2000,1
Niagara,March,2000,3
Dufferin Grove,March,2000,1
Little Portugal,March,2000,3
South Parkdale,March,2000,1
Roncesvalles,March,2000,3
High Park-Swansea,March,2000,2
High Park North,March,2000,3
Runnymede-Bloor West VillageJunction Area,March,2000,1
Weston-Pellam ParkCorso Italia-DavenportDovercourt-Wallace Emerson-JunctiWychwood,March,2000,1
Annex,March,2000,0
Casa Loma,March,2000,0
Yonge-St.Clair,March,2000,3
Rosedale-Moore Park,March,2000,2
Mount Pleasant East,March,2000,0
Yonge-Eglinton,March,2000,0
Forest Hill South,March,2000,3
Forest Hill North,March,2000,2
Lawrence Park South,March,2000,2
Mount Pleasant West,March,2000,0
Lawrence Park North,March,2000,2
Humewood-Cedarvale,March,2000,3
Oakwood Village,March,2000,2
Briar Hill-Belgravia,March,2000,3
Caledonia-Fairbank,March,2000,1
Keelesdale-Eglinton West,March,2000,2
Rockcliffe-Smythe,March,2000,0
Beechborough-Greenbrook,March,2000,1
Weston,March,2000,0
Lambton Baby Point,March,2000,1
Mount Dennis,March,2000,1
Steeles,March,2000,3
L'Amoreaux,March,2000,3
Tam O'Shanter-Sullivan,March,2000,3
Wexford/Maryvale,March,2000,1
Clairlea-Birchmount,March,2000,2
Oakridge,March,2000,1
Birchcliffe-Cliffside,March,2000,0
Cliffcrest,March,2000,2
Kennedy Park,March,2000,3
Ionview,March,2000,1
Dorset Park,March,2000,2
Bendale,March,2000,1
Agincourt South-Malvern West,March,2000,2
Agincourt North,March,2000,1
Milliken,March,2000,2
Rouge,March,2000,0
Malvern,March,2000,0
Centennial Scarborough,March,2000,1
Highland Creek,March,2000,3
Morningside,March,2000,2
West Humber-Clairville,April,2000,0
Mount Olive-Silverstone-Jamestown,April,2000,3
Thistletown-Beaumond Heights,April,2000,0
Rexdale-Kipling,April,2000,3
Elms-Old Rexdale,April,2000,0
Kingsview Village-The Westway,April,2000,3
Willowridge-Martingrove-Richview,April,2000,0
Humber Heights-Westmount,April,2000,3
Edenbridge-Humber Valley,April,2000,2
Princess-Rosethorn,April,2000,3
Eringate-Centennial-West DeaneMarkland Wood,April,2000,0
Etobicoke West Mall,April,2000,1
Islington-City Centre West,April,2000,2
Kingsway South,April,2000,2
Stonegate-Queensway,April,2000,2
Mimico,April,2000,2
New Toronto,April,2000,3
Long Branch,April,2000,1
Alderwood,April,2000,0
Humber Summit,April,2000,0
Humbermede,April,2000,1
Pelmo Park-Humberlea,April,2000,1
Black Creek,April,2000,2
Glenfield-Jane Heights,April,2000,2
Downsview-Roding-CFB,April,2000,3
York University Heights,April,2000,2
Rustic,April,2000,2
Maple Leaf,April,2000,2
Brookhaven-Amesbury,April,2000,1
Yorkdale-Glen Park,April,2000,1
Englemount-Lawrence,April,2000,2
Clanton Park,April,2000,2
Bathurst Manor,April,2000,2
Westminster-Branson,April,2000,1
Newtonbrook West,April,2000,1
Willowdale West,April,2000,0
Lansing-Westgate,April,2000,2
Bedford Park-Nortown,April,2000,3
St.Andrew-Windfields,April,2000,3
Bridle Path-Sunnybrook-York Mills,April,2000,1
Banbury-Don Mills,April,2000,1
Victoria Village,April,2000,1
Flemingdon Park,April,2000,2
Parkwoods-Donalda,April,2000,1
Pleasant View,April,2000,0
Don Valley Village,April,2000,2
Hillcrest Village,April,2000,1
Bayview Woods-Steeles,April,2000,1
Newtonbrook East,April,2000,3
Willowdale East,April,2000,0
Bayview Village,April,2000,1
Henry Farm,April,2000,3
O'Connor-Parkview,April,2000,0
Thorncliffe Park,April,2000,0
Leaside-Bennington,April,2000,0
Broadview North,April,2000,2
Old East York,April,2000,2
Danforth-East York,April,2000,0
Woodbine-Lumsden,April,2000,0
Taylor-Massey,April,2000,2
East End-Danforth,April,2000,1
The Beaches,April,2000,3
Woodbine Corridor,April,2000,2
Greenwood-Coxwell,April,2000,1
Danforth,April,2000,2
Playter Estates-Danforth,April,2000,0
North Riverdale,April,2000,2
Blake-Jones,April,2000,2
South Riverdale,April,2000,2
Cabbagetown-South St.James Town,April,2000,0
Regent Park,April,2000,0
Moss Park,April,2000,2
North St.James Town,April,2000,1
Church-Yonge Corridor,April,2000,2
Bay Street Corridor,April,2000,2
Waterfront Communities-The Island,April,2000,0
Kensington-Chinatown,April,2000,1
University,April,2000,1
Palmerston-Little Italy,April,2000,3
Trinity-Bellwoods,April,2000,3
Niagara,April,2000,2
Dufferin Grove,April,2000,3
Little Portugal,April,2000,0
South Parkdale,April,2000,3
Roncesvalles,April,2000,2
High Park-Swansea,April,2000,0
High Park North,April,2000,0
Runnymede-Bloor West VillageJunction Area,April,2000,1
Weston-Pellam ParkCorso Italia-DavenportDovercourt-Wallace Emerson-JunctiWychwood,April,2000,1
Annex,April,2000,2
Casa Loma,April,2000,0
Yonge-St.Clair,April,2000,2
Rosedale-Moore Park,April,2000,3
Mount Pleasant East,April,2000,3
Yonge-Eglinton,April,2000,1
Forest Hill South,April,2000,3
Forest Hill North,April,2000,0
Lawrence Park South,April,2000,0
Mount Pleasant West,April,2000,0
Lawrence Park North,April,2000,0
Humewood-Cedarvale,April,2000,2
Oakwood Village,April,2000,1
Briar Hill-Belgravia,April,2000,3
Caledonia-Fairbank,April,2000,2
Keelesdale-Eglinton West,April,2000,1
Rockcliffe-Smythe,April,2000,3
Beechborough-Greenbrook,April,2000,2
Weston,April,2000,1
Lambton Baby Point,April,2000,1
Mount Dennis,April,2000,3
Steeles,April,2000,2
L'Amoreaux,April,2000,0
Tam O'Shanter-Sullivan,April,2000,2
Wexford/Maryvale,April,2000,3
Clairlea-Birchmount,April,2000,0
Oakridge,April,2000,2
Birchcliffe-Cliffside,April,2000,2
Cliffcrest,April,2000,1
Kennedy Park,April,2000,3
Ionview,April,2000,2
Dorset Park,April,2000,2
Bendale,April,2000,2
Agincourt South-Malvern West,April,2000,1
Agincourt North,April,2000,1
Milliken,April,2000,2
Rouge,April,2000,3
Malvern,April,2000,2
Centennial Scarborough,April,2000,1
Highland Creek,April,2000,1
Morningside,April,2000,2
West Humber-Clairville,May,2000,0
Mount Olive-Silverstone-Jamestown,May,2000,1
Thistletown-Beaumond Heights,May,2000,0
Rexdale-Kipling,May,2000,0
Elms-Old Rexdale,May,2000,1
Kingsview Village-The Westway,May,2000,0
Willowridge-Martingrove-Richview,May,2000,3
Humber Heights-Westmount,May,2000,3
Edenbridge-Humber Valley,May,2000,1
Princess-Rosethorn,May,2000,2
Eringate-Centennial-West DeaneMarkland Wood,May,2000,3
Etobicoke West Mall,May,2000,1
Islington-City Centre West,May,2000,3
Kingsway South,May,2000,0
Stonegate-Queensway,May,2000,3
Mimico,May,2000,0
New Toronto,May,2000,3
Long Branch,May,2000,1
Alderwood,May,2000,1
Humber Summit,May,2000,1
Humbermede,May,2000,1
Pelmo Park-Humberlea,May,2000,2
Black Creek,May,2000,3
Glenfield-Jane Heights,May,2000,3
Downsview-Roding-CFB,May,2000,2
York University Heights,May,2000,3
Rustic,May,2000,0
Maple Leaf,May,2000,0
Brookhaven-Amesbury,May,2000,0
Yorkdale-Glen Park,May,2000,3
Englemount-Lawrence,May,2000,0
Clanton Park,May,2000,2
Bathurst Manor,May,2000,3
Westminster-Branson,May,2000,0
Newtonbrook West,May,2000,3
Willowdale West,May,2000,0
Lansing-Westgate,May,2000,3
Bedford Park-Nortown,May,2000,1
St.Andrew-Windfields,May,2000,3
Bridle Path-Sunnybrook-York Mills,May,2000,0
Banbury-Don Mills,May,2000,3
Victoria Village,May,2000,0
Flemingdon Park,May,2000,0
Parkwoods-Donalda,May,2000,1
Pleasant View,May,2000,3
Don Valley Village,May,2000,2
Hillcrest Village,May,2000,0
Bayview Woods-Steeles,May,2000,3
Newtonbrook East,May,2000,3
Willowdale East,May,2000,1
Bayview Village,May,2000,2
Henry Farm,May,2000,1
O'Connor-Parkview,May,2000,1
Thorncliffe Park,May,2000,1
Leaside-Bennington,May,2000,2
Broadview North,May,2000,0
Old East York,May,2000,2
Danforth-East York,May,2000,3
Woodbine-Lumsden,May,2000,2
Taylor-Massey,May,2000,1
East End-Danforth,May,2000,1
The Beaches,May,2000,0
Woodbine Corridor,May,2000,3
Greenwood-Coxwell,May,2000,0
Danforth,May,2000,1
Playter Estates-Danforth,May,2000,1
North Riverdale,May,2000,3
Blake-Jones,May,2000,3
South Riverdale,May,2000,1
Cabbagetown-South St.James Town,May,2000,3
Regent Park,May,2000,0
Moss Park,May,2000,1
North St.James Town,May,2000,3
Church-Yonge Corridor,May,2000,3
Bay Street Corridor,May,2000,2
Waterfront Communities-The Island,May,2000,2
Kensington-Chinatown,May,2000,1
University,May,2000,3
Palmerston-Little Italy,May,2000,3
Trinity-Bellwoods,May,2000,0
Niagara,May,2000,2
Dufferin Grove,May,2000,2
Little Portugal,May,2000,3
South Parkdale,May,2000,2
Roncesvalles,May,2000,2
High Park-Swansea,May,2000,1
High Park North,May,2000,3
Runnymede-Bloor West VillageJunction Area,May,2000,3
Weston-Pellam ParkCorso Italia-DavenportDovercourt-Wallace Emerson-JunctiWychwood,May,2000,2
Annex,May,2000,3
Casa Loma,May,2000,3
Yonge-St.Clair,May,2000,0
Rosedale-Moore Park,May,2000,2
Mount Pleasant East,May,2000,2
Yonge-Eglinton,May,2000,3
Forest Hill South,May,2000,2
Forest Hill North,May,2000,0
Lawrence Park South,May,2000,0
Mount Pleasant West,May,2000,0
Lawrence Park North,May,2000,1
Humewood-Cedarvale,May,2000,1
Oakwood Village,May,2000,3
Briar Hill-Belgravia,May,2000,0
Caledonia-Fairbank,May,2000,0
Keelesdale-Eglinton West,May,2000,0
Rockcliffe-Smythe,May,2000,0
Beechborough-Greenbrook,May,2000,2
Weston,May,2000,1
Lambton Baby Point,May,2000,2
Mount Dennis,May,2000,0
Steeles,May,2000,1
L'Amoreaux,May,2000,0
Tam O'Shanter-Sullivan,May,2000,1
Wexford/Maryvale,May,2000,2
Clairlea-Birchmount,May,2000,3
Oakridge,May,2000,3
Birchcliffe-Cliffside,May,2000,2
Cliffcrest,May,2000,2
Kennedy Park,May,2000,2
Ionview,May,2000,3
Dorset Park,May,2000,1
Bendale,May,2000,0
Agincourt South-Malvern West,May,2000,2
Agincourt North,May,2000,1
Milliken,May,2000,0
Rouge,May,2000,3
Malvern,May,2000,3
Centennial Scarborough,May,2000,1
Highland Creek,May,2000,2
Morningside,May,2000,2
West Humber-Clairville,June,2000,3
Mount Olive-Silverstone-Jamestown,June,2000,3
Thistletown-Beaumond Heights,June,2000,1
Rexdale-Kipling,June,2000,3
Elms-Old Rexdale,June,2000,2
Kingsview Village-The Westway,June,2000,3
Willowridge-Martingrove-Richview,June,2000,0
Humber Heights-Westmount,June,2000,0
Edenbridge-Humber Valley,June,2000,0
Princess-Rosethorn,June,2000,3
Eringate-Centennial-West DeaneMarkland Wood,June,2000,3
Etobicoke West Mall,June,2000,0
Islington-City Centre West,June,2000,2
Kingsway South,June,2000,1
Stonegate-Queensway,June,2000,1
Mimico,June,2000,3
New Toronto,June,2000,3
Long Branch,June,2000,2
Alderwood,June,2000,0
Humber Summit,June,2000,3
Humbermede,June,2000,3
Pelmo Park-Humberlea,June,2000,1
Black Creek,June,2000,0
Glenfield-Jane Heights,June,2000,0
Downsview-Roding-CFB,June,2000,1
York University Heights,June,2000,1
Rustic,June,2000,3
Maple Leaf,June,2000,2
Brookhaven-Amesbury,June,2000,1
Yorkdale-Glen Park,June,2000,3
Englemount-Lawrence,June,2000,1
Clanton Park,June,2000,1
Bathurst Manor,June,2000,2
Westminster-Branson,June,2000,0
Newtonbrook West,June,2000,3
Willowdale West,June,2000,0
Lansing-Westgate,June,2000,2
Bedford Park-Nortown,June,2000,1
St.Andrew-Windfields,June,2000,2
Bridle Path-Sunnybrook-York Mills,June,2000,1
Banbury-Don Mills,June,2000,3
Victoria Village,June,2000,1
Flemingdon Park,June,2000,2
Parkwoods-Donalda,June,2000,0
Pleasant View,June,2000,1
Don Valley Village,June,2000,1
Hillcrest Village,June,2000,2
Bayview Woods-Steeles,June,2000,2
Newtonbrook East,June,2000,0
Willowdale East,June,2000,3
Bayview Village,June,2000,2
Henry Farm,June,2000,2
O'Connor-Parkview,June,2000,1
Thorncliffe Park,June,2000,3
Leaside-Bennington,June,2000,1
Broadview North,June,2000,3
Old East York,June,2000,0
Danforth-East York,June,2000,0
Woodbine-Lumsden,June,2000,3
Taylor-Massey,June,2000,2
East End-Danforth,June,2000,2
The Beaches,June,2000,1
Woodbine Corridor,June,2000,0
Greenwood-Coxwell,June,2000,2
Danforth,June,2000,0
Playter Estates-Danforth,June,2000,3
North Riverdale,June,2000,0
Blake-Jones,June,2000,2
South Riverdale,June,2000,3
Cabbagetown-South St.James Town,June,2000,2
Regent Park,June,2000,0
Moss Park,June,2000,3
North St.James Town,June,2000,1
Church-Yonge Corridor,June,2000,3
Bay Street Corridor,June,2000,1
Waterfront Communities-The Island,June,2000,0
Kensington-Chinatown,June,2000,0
University,June,2000,3
Palmerston-Little Italy,June,2000,0
Trinity-Bellwoods,June,2000,0
Niagara,June,2000,2
Dufferin Grove,June,2000,1
Little Portugal,June,2000,3
South Parkdale,June,2000,2
Roncesvalles,June,2000,0
High Park-Swansea,June,2000,2
High Park North,June,2000,0
Runnymede-Bloor West VillageJunction Area,June,2000,0
Weston-Pellam ParkCorso Italia-DavenportDovercourt-Wallace Emerson-JunctiWychwood,June,2000,0
Annex,June,2000,0
Casa Loma,June,2000,0
Yonge-St.Clair,June,2000,1
Rosedale-Moore Park,June,2000,2
Mount Pleasant East,June,2000,2
Yonge-Eglinton,June,2000,0
Forest Hill South,June,2000,3
Forest Hill North,June,2000,1
Lawrence Park South,June,2000,2
Mount Pleasant West,June,2000,0
Lawrence Park North,June,2000,0
Humewood-Cedarvale,June,2000,2
Oakwood Village,June,2000,0
Briar Hill-Belgravia,June,2000,0
Caledonia-Fairbank,June,2000,1
Keelesdale-Eglinton West,June,2000,3
Rockcliffe-Smythe,June,2000,3
Beechborough-Greenbrook,June,2000,3
Weston,June,2000,2
Lambton Baby Point,June,2000,2
Mount Dennis,June,2000,2
Steeles,June,2000,3
L'Amoreaux,June,2000,2
Tam O'Shanter-Sullivan,June,2000,1
Wexford/Maryvale,June,2000,2
Clairlea-Birchmount,June,2000,3
Oakridge,June,2000,1
Birchcliffe-Cliffside,June,2000,2
Cliffcrest,June,2000,1
Kennedy Park,June,2000,0
Ionview,June,2000,1
Dorset Park,June,2000,1
Bendale,June,2000,3
Agincourt South-Malvern West,June,2000,0
Agincourt North,June,2000,3
Milliken,June,2000,0
Rouge,June,2000,3
Malvern,June,2000,1
Centennial Scarborough,June,2000,1
Highland Creek,June,2000,1
Morningside,June,2000,1
West Humber-Clairville,July,2000,3
Mount Olive-Silverstone-Jamestown,July,2000,0
Thistletown-Beaumond Heights,July,2000,1
Rexdale-Kipling,July,2000,2
Elms-Old Rexdale,July,2000,1
Kingsview Village-The Westway,July,2000,2
Willowridge-Martingrove-Richview,July,2000,3
Humber Heights-Westmount,July,2000,3
Edenbridge-Humber Valley,July,2000,2
Princess-Rosethorn,July,2000,1
Eringate-Centennial-West DeaneMarkland Wood,July,2000,2
Etobicoke West Mall,July,2000,1
Islington-City Centre West,July,2000,2
Kingsway South,July,2000,1
Stonegate-Queensway,July,2000,0
Mimico,July,2000,1
New Toronto,July,2000,3
Long Branch,July,2000,1
Alderwood,July,2000,2
Humber Summit,July,2000,2
Humbermede,July,2000,3
Pelmo Park-Humberlea,July,2000,0
Black Creek,July,2000,0
Glenfield-Jane Heights,July,2000,0
Downsview-Roding-CFB,July,2000,2
York University Heights,July,2000,0
Rustic,July,2000,0
Maple Leaf,July,2000,1
Brookhaven-Amesbury,July,2000,1
Yorkdale-Glen Park,July,2000,3
Englemount-Lawrence,July,2000,3
Clanton Park,July,2000,3
Bathurst Manor,July,2000,0
Westminster-Branson,July,2000,0
Newtonbrook West,July,2000,1
Willowdale West,July,2000,2
Lansing-Westgate,July,2000,0
Bedford Park-Nortown,July,2000,3
St.Andrew-Windfields,July,2000,1
Bridle Path-Sunnybrook-York Mills,July,2000,0
Banbury-Don Mills,July,2000,2
Victoria Village,July,2000,0
Flemingdon Park,July,2000,1
Parkwoods-Donalda,July,2000,0
Pleasant View,July,2000,1
Don Valley Village,July,2000,3
Hillcrest Village,July,2000,1
Bayview Woods-Steeles,July,2000,1
Newtonbrook East,July,2000,2
Willowdale East,July,2000,2
Bayview Village,July,2000,0
