neighbourhood,month,year,count
Mount Dennis,March,2000,2
Edenbridge-Humber Valley,March,2000,4
Thorncliffe Park,March,2000,2
Tam O'Shanter-Sullivan,March,2000,4
Yonge-Eglinton,March,2000,4
West Hill,March,2000,1
Alderwood,March,2000,2
Guildwood,March,2000,3
Thistletown-Beaumond Heights,March,2000,2
Alderwood,March,2000,1
Woodbine-Lumsden,March,2000,2
Don Valley Village,March,2000,4
L'Amoreaux,March,2000,4
Caledonia-Fairbank,March,2000,4
Banbury-Don Mills,March,2000,2
Mount Pleasant West,March,2000,3
Mount Olive-Silverstone-Jamestown,March,2000,2
Agincourt North,March,2000,4
High Park-Swansea,March,2000,3
High Park-Swansea,March,2000,3
Edenbridge-Humber Valley,March,2000,4
Humber Heights-Westmount,March,2000,2
South Parkdale,March,2000,4
Eringate-Centennial-West DeaneMarkland Wood,March,2000,3
York University Heights,March,2000,1
Woodbine-Lumsden,March,2000,4
Etobicoke West Mall,March,2000,2
Bayview Woods-Steeles,March,2000,4
Clanton Park,March,2000,1
Clanton Park,March,2000,1
Kensington-Chinatown,March,2000,1
Blake-Jones,March,2000,4
St.Andrew-Windfields,March,2000,4
Danforth-East York,March,2000,1
Kingsview Village-The Westway,March,2000,3
Oakridge,March,2000,3
Woodbine Corridor,March,2000,4
Woodbine-Lumsden,March,2000,1
Birchcliffe-Cliffside,March,2000,1
West Hill,March,2000,3
High Park North,March,2000,2
High Park-Swansea,March,2000,1
Trinity-Bellwoods,March,2000,4
Islington-City Centre West,March,2000,2
Glenfield-Jane Heights,March,2000,1
Regent Park,March,2000,2
Weston,March,2000,1
Rustic,April,2000,3
Hillcrest Village,April,2000,4
Rustic,April,2000,1
Clairlea-Birchmount,April,2000,2
Newtonbrook West,April,2000,2
East End-Danforth,April,2000,2
Mount Olive-Silverstone-Jamestown,April,2000,2
Mount Pleasant West,April,2000,2
North St.James Town,April,2000,2
Weston-Pellam ParkCorso Italia-DavenportDovercourt-Wallace Emerson-JunctiWychwood,April,2000,3
Humber Heights-Westmount,April,2000,3
Rosedale-Moore Park,April,2000,2
Forest Hill South,April,2000,3
Yonge-St.Clair,April,2000,1
Alderwood,April,2000,4
Humbermede,April,2000,3
Roncesvalles,April,2000,2
Kingsway South,April,2000,4
Kingsview Village-The Westway,April,2000,2
Old East York,April,2000,1
Woburn,April,2000,4
Kennedy Park,April,2000,3
Palmerston-Little Italy,April,2000,3
Mount Pleasant West,April,2000,3
Stonegate-Queensway,April,2000,4
Islington-City Centre West,April,2000,3
Caledonia-Fairbank,April,2000,2
Etobicoke West Mall,April,2000,4
Trinity-Bellwoods,April,2000,1
Black Creek,April,2000,1
Bathurst Manor,April,2000,2
Maple Leaf,April,2000,3
Westminster-Branson,April,2000,2
University,April,2000,1
Princess-Rosethorn,April,2000,1
Willowridge-Martingrove-Richview,April,2000,4
Princess-Rosethorn,April,2000,1
Scarborough Village,April,2000,3
Moss Park,April,2000,1
Willowdale East,April,2000,1
Lambton Baby Point,April,2000,2
Mount Pleasant East,April,2000,2
Briar Hill-Belgravia,April,2000,3
Danforth-East York,April,2000,2
Annex,April,2000,1
Humber Heights-Westmount,April,2000,4
Centennial Scarborough,April,2000,2
Oakwood Village,April,2000,4
Banbury-Don Mills,April,2000,3
Malvern,April,2000,3
Newtonbrook East,April,2000,1
Bathurst Manor,April,2000,2
West Hill,April,2000,2
Highland Creek,April,2000,4
Bendale,April,2000,2
Tam O'Shanter-Sullivan,April,2000,4
Humewood-Cedarvale,April,2000,4
Agincourt North,April,2000,4
Runnymede-Bloor West VillageJunction Area,April,2000,4
Roncesvalles,April,2000,2
Willowdale West,April,2000,1
Bendale,April,2000,2
Newtonbrook West,April,2000,1
Islington-City Centre West,April,2000,4
Trinity-Bellwoods,April,2000,3
Henry Farm,April,2000,4
West Hill,April,2000,4
Rosedale-Moore Park,April,2000,1
Clairlea-Birchmount,April,2000,3
Niagara,April,2000,1
Niagara,April,2000,1
Yorkdale-Glen Park,April,2000,2
Bayview Woods-Steeles,April,2000,2
Stonegate-Queensway,April,2000,1
Yonge-St.Clair,April,2000,4
Hillcrest Village,April,2000,1
Humber Heights-Westmount,April,2000,1
Clairlea-Birchmount,April,2000,3
Yonge-Eglinton,April,2000,1
Waterfront Communities-The Island,April,2000,2
Humber Summit,April,2000,4
Greenwood-Coxwell,April,2000,2
Leaside-Bennington,April,2000,2
Beechborough-Greenbrook,April,2000,3
Casa Loma,April,2000,2
Lambton Baby Point,April,2000,3
University,April,2000,2
Lansing-Westgate,April,2000,3
Bedford Park-Nortown,April,2000,1
Thistletown-Beaumond Heights,April,2000,3
Agincourt North,April,2000,4
Niagara,April,2000,3
Mount Dennis,April,2000,4
Milliken,April,2000,1
Taylor-Massey,April,2000,3
Moss Park,April,2000,1
North Riverdale,April,2000,1
Edenbridge-Humber Valley,April,2000,1
Willowdale West,April,2000,1
Greenwood-Coxwell,April,2000,1
Lambton Baby Point,April,2000,2
Forest Hill North,April,2000,4
Birchcliffe-Cliffside,April,2000,3
Lambton Baby Point,April,2000,1
South Riverdale,April,2000,4
Dorset Park,April,2000,1
University,April,2000,2
Palmerston-Little Italy,April,2000,4
Rexdale-Kipling,April,2000,3
Little Portugal,April,2000,4
North Riverdale,April,2000,1
L'Amoreaux,April,2000,1
Highland Creek,April,2000,1
Englemount-Lawrence,April,2000,1
Mount Olive-Silverstone-Jamestown,April,2000,1
Brookhaven-Amesbury,April,2000,3
Woburn,April,2000,1
Parkwoods-Donalda,April,2000,3
Casa Loma,April,2000,1
York University Heights,April,2000,3
Edenbridge-Humber Valley,April,2000,2
Briar Hill-Belgravia,April,2000,3
Cabbagetown-South St.James Town,April,2000,1
Agincourt South-Malvern West,April,2000,1
Casa Loma,April,2000,1
Lansing-Westgate,April,2000,1
Playter Estates-Danforth,April,2000,3
Yonge-Eglinton,April,2000,1
St.Andrew-Windfields,April,2000,4
Woodbine Corridor,April,2000,3
Hillcrest Village,April,2000,3
Weston,April,2000,2
Thistletown-Beaumond Heights,April,2000,1
West Humber-Clairville,April,2000,2
University,April,2000,2
Maple Leaf,April,2000,4
Humbermede,April,2000,1
Bathurst Manor,April,2000,2
York University Heights,April,2000,3
Elms-Old Rexdale,April,2000,3
Bayview Woods-Steeles,April,2000,2
Weston,May,2000,2
Taylor-Massey,May,2000,2
Humber Summit,May,2000,4
South Riverdale,May,2000,2
Steeles,May,2000,1
Caledonia-Fairbank,May,2000,1
Bendale,May,2000,3
Bayview Woods-Steeles,May,2000,2
Kingsview Village-The Westway,May,2000,3
Banbury-Don Mills,May,2000,3
Westminster-Branson,May,2000,4
Highland Creek,May,2000,4
Bayview Woods-Steeles,May,2000,3
Mimico,May,2000,1
Newtonbrook West,May,2000,4
Mount Pleasant East,May,2000,4
Cabbagetown-South St.James Town,May,2000,3
New Toronto,May,2000,3
Clanton Park,May,2000,1
Guildwood,May,2000,1
Humbermede,May,2000,3
Trinity-Bellwoods,May,2000,4
Mount Dennis,May,2000,2
Rexdale-Kipling,May,2000,1
Black Creek,May,2000,1
Kennedy Park,May,2000,3
Oakridge,May,2000,3
Stonegate-Queensway,May,2000,3
Old East York,May,2000,4
Tam O'Shanter-Sullivan,May,2000,2
Willowridge-Martingrove-Richview,May,2000,2
Beechborough-Greenbrook,May,2000,1
Stonegate-Queensway,May,2000,1
Princess-Rosethorn,May,2000,2
Lawrence Park South,May,2000,2
New Toronto,May,2000,2
Greenwood-Coxwell,May,2000,3
Henry Farm,May,2000,2
North Riverdale,May,2000,3
Kingsview Village-The Westway,May,2000,2
Centennial Scarborough,May,2000,3
Rockcliffe-Smythe,May,2000,4
High Park North,May,2000,4
Thorncliffe Park,May,2000,3
Bay Street Corridor,May,2000,2
Leaside-Bennington,May,2000,3
Mount Pleasant West,May,2000,1
Clairlea-Birchmount,May,2000,4
Scarborough Village,May,2000,4
Pleasant View,May,2000,1
Newtonbrook East,May,2000,3
Agincourt North,May,2000,4
South Riverdale,May,2000,3
Eglinton East,May,2000,2
Forest Hill South,May,2000,2
University,May,2000,3
Clairlea-Birchmount,May,2000,1
Scarborough Village,May,2000,4
Humewood-Cedarvale,May,2000,2
Broadview North,May,2000,1
Birchcliffe-Cliffside,May,2000,1
Willowdale East,May,2000,1
Pleasant View,May,2000,1
Rouge,May,2000,2
North St.James Town,May,2000,1
Kennedy Park,May,2000,2
Beechborough-Greenbrook,May,2000,1
Lambton Baby Point,May,2000,1
Danforth,May,2000,3
Newtonbrook West,May,2000,3
Taylor-Massey,May,2000,3
South Riverdale,May,2000,3
Church-Yonge Corridor,May,2000,4
Kingsway South,May,2000,2
The Beaches,May,2000,2
Broadview North,May,2000,2
Bendale,May,2000,2
Church-Yonge Corridor,May,2000,4
Banbury-Don Mills,May,2000,3
Little Portugal,May,2000,4
Briar Hill-Belgravia,May,2000,2
Leaside-Bennington,May,2000,4
Clairlea-Birchmount,May,2000,2
Mount Dennis,May,2000,1
Agincourt South-Malvern West,May,2000,2
Wexford/Maryvale,May,2000,2
Hillcrest Village,May,2000,2
Bay Street Corridor,May,2000,2
The Beaches,May,2000,1
Waterfront Communities-The Island,May,2000,2
Newtonbrook East,May,2000,3
Brookhaven-Amesbury,May,2000,3
Leaside-Bennington,May,2000,3
Weston-Pellam ParkCorso Italia-DavenportDovercourt-Wallace Emerson-JunctiWychwood,May,2000,4
Highland Creek,May,2000,4
South Parkdale,May,2000,2
Briar Hill-Belgravia,May,2000,3
Woodbine Corridor,May,2000,4
L'Amoreaux,May,2000,2
Pelmo Park-Humberlea,May,2000,4
New Toronto,May,2000,4
Edenbridge-Humber Valley,May,2000,4
Woodbine-Lumsden,May,2000,3
Cabbagetown-South St.James Town,May,2000,4
Danforth,May,2000,4
Rockcliffe-Smythe,May,2000,4
Runnymede-Bloor West VillageJunction Area,May,2000,1
Mount Pleasant East,May,2000,3
Beechborough-Greenbrook,May,2000,1
New Toronto,May,2000,1
Weston-Pellam ParkCorso Italia-DavenportDovercourt-Wallace Emerson-JunctiWychwood,May,2000,3
Kensington-Chinatown,May,2000,1
Stonegate-Queensway,May,2000,4
Humber Heights-Westmount,May,2000,2
Thistletown-Beaumond Heights,May,2000,3
Steeles,May,2000,3
Bedford Park-Nortown,May,2000,4
Scarborough Village,May,2000,1
Milliken,May,2000,3
Morningside,May,2000,3
Newtonbrook West,May,2000,2
University,May,2000,2
Long Branch,May,2000,4
Lawrence Park South,May,2000,4
Parkwoods-Donalda,May,2000,3
Englemount-Lawrence,May,2000,3
Princess-Rosethorn,May,2000,3
L'Amoreaux,May,2000,3
Oakridge,May,2000,3
Forest Hill North,May,2000,3
Pleasant View,May,2000,1
South Riverdale,May,2000,2
Henry Farm,May,2000,3
Willowridge-Martingrove-Richview,May,2000,4
Yorkdale-Glen Park,May,2000,2
New Toronto,May,2000,2
Flemingdon Park,May,2000,4
Forest Hill North,May,2000,2
Waterfront Communities-The Island,May,2000,3
High Park North,May,2000,4
Malvern,May,2000,2
Cabbagetown-South St.James Town,June,2000,2
Kingsway South,June,2000,3
Weston-Pellam ParkCorso Italia-DavenportDovercourt-Wallace Emerson-JunctiWychwood,June,2000,2
Brookhaven-Amesbury,June,2000,1
Milliken,June,2000,4
Pelmo Park-Humberlea,June,2000,4
Annex,June,2000,3
South Parkdale,June,2000,3
Bay Street Corridor,June,2000,3
Lambton Baby Point,June,2000,2
Pleasant View,June,2000,3
Pleasant View,June,2000,2
Woodbine Corridor,June,2000,4
South Parkdale,June,2000,4
Kingsview Village-The Westway,June,2000,3
O'Connor-Parkview,June,2000,1
Highland Creek,June,2000,1
Taylor-Massey,June,2000,1
Pelmo Park-Humberlea,June,2000,3
Pelmo Park-Humberlea,June,2000,3
Downsview-Roding-CFB,June,2000,2
Guildwood,June,2000,3
Cliffcrest,June,2000,4
Eringate-Centennial-West DeaneMarkland Wood,June,2000,2
South Riverdale,June,2000,3
Woodbine Corridor,June,2000,1
Oakwood Village,June,2000,3
Kingsway South,June,2000,4
Long Branch,June,2000,3
West Hill,June,2000,1
Broadview North,June,2000,3
Bendale,June,2000,2
Don Valley Village,June,2000,4
Blake-Jones,June,2000,4
Agincourt North,June,2000,3
Glenfield-Jane Heights,June,2000,1
Guildwood,June,2000,4
Kennedy Park,June,2000,4
Thorncliffe Park,June,2000,2
Eringate-Centennial-West DeaneMarkland Wood,June,2000,4
Victoria Village,June,2000,3
Weston,June,2000,4
Weston-Pellam ParkCorso Italia-DavenportDovercourt-Wallace Emerson-JunctiWychwood,June,2000,4
Pelmo Park-Humberlea,June,2000,2
Morningside,June,2000,1
Bayview Woods-Steeles,June,2000,2
Broadview North,June,2000,3
Alderwood,June,2000,2
Willowridge-Martingrove-Richview,June,2000,2
Little Portugal,June,2000,4
Lawrence Park North,June,2000,4
Victoria Village,June,2000,2
Elms-Old Rexdale,June,2000,1
Bedford Park-Nortown,June,2000,1
Forest Hill South,June,2000,3
Flemingdon Park,June,2000,4
Yonge-St.Clair,June,2000,3
Thorncliffe Park,June,2000,2
Trinity-Bellwoods,June,2000,1
Danforth-East York,June,2000,3
Elms-Old Rexdale,June,2000,1
Glenfield-Jane Heights,June,2000,3
Clairlea-Birchmount,June,2000,3
Willowdale East,June,2000,1
Bathurst Manor,June,2000,3
Englemount-Lawrence,June,2000,2
St.Andrew-Windfields,June,2000,1
Willowdale East,June,2000,4
Mimico,June,2000,2
Guildwood,June,2000,4
New Toronto,June,2000,2
East End-Danforth,June,2000,2
Kennedy Park,June,2000,4
Birchcliffe-Cliffside,June,2000,1
Niagara,June,2000,2
Oakridge,June,2000,3
Danforth-East York,June,2000,3
Woburn,June,2000,4
University,June,2000,3
Downsview-Roding-CFB,June,2000,4
Oakwood Village,June,2000,1
Princess-Rosethorn,June,2000,3
Rouge,June,2000,2
Briar Hill-Belgravia,June,2000,4
Mount Dennis,June,2000,2
Cabbagetown-South St.James Town,June,2000,3
Leaside-Bennington,June,2000,1
Dufferin Grove,June,2000,4
Oakridge,June,2000,4
Banbury-Don Mills,June,2000,4
Forest Hill North,June,2000,3
Maple Leaf,June,2000,1
Rockcliffe-Smythe,June,2000,2
Forest Hill North,June,2000,4
Cliffcrest,June,2000,2
Banbury-Don Mills,June,2000,4
Henry Farm,June,2000,2
West Hill,June,2000,4
Broadview North,June,2000,3
Regent Park,June,2000,4
Rosedale-Moore Park,June,2000,2
Highland Creek,June,2000,3
Newtonbrook West,June,2000,2
Lambton Baby Point,June,2000,4
Agincourt North,June,2000,2
Caledonia-Fairbank,June,2000,4
Pelmo Park-Humberlea,June,2000,3
North Riverdale,June,2000,4
Scarborough Village,June,2000,1
High Park-Swansea,June,2000,4
Kingsway South,June,2000,1
Brookhaven-Amesbury,June,2000,1
Rosedale-Moore Park,June,2000,2
Church-Yonge Corridor,June,2000,4
Lansing-Westgate,June,2000,2
Kingsway South,June,2000,2
Trinity-Bellwoods,June,2000,3
Englemount-Lawrence,June,2000,4
Englemount-Lawrence,June,2000,4
Agincourt South-Malvern West,June,2000,4
Bridle Path-Sunnybrook-York Mills,June,2000,1
Pelmo Park-Humberlea,June,2000,3
Humewood-Cedarvale,June,2000,4
Agincourt North,June,2000,3
Blake-Jones,June,2000,2
Hillcrest Village,June,2000,1
Scarborough Village,June,2000,3
Humewood-Cedarvale,June,2000,2
Rouge,June,2000,2
Rouge,June,2000,4
Trinity-Bellwoods,June,2000,4
Newtonbrook West,June,2000,1
High Park-Swansea,June,2000,3
